kegg_cid,month,month_mean_int,log_int
C05476,October,11380588.485942231,24.440071825001837
C05476,September,10152466.92662594,24.275326991658908
C05520,August,9910708.866931882,24.240556819695847
C05520,July_1,16500693.936071064,24.976023362444852
C05520,July_2,21091211.36500811,25.3301386223162
C05520,July_3,11831749.249592341,24.49616004703136
C05520,June,24039962.90208891,25.518931333928954
C05520,May,19588900.04984901,25.223533054303992
C05520,October,26503906.58460966,25.659701687844297
C05520,September,13398008.947222868,24.67551528464129
C05595,August,3155283.916991575,22.58933839615066
C05595,July_1,7214875.589276088,23.782543086939903
C05595,July_2,5917787.360980837,23.496626427604937
C05595,July_3,4509979.176017402,23.10468934144658
C05595,June,3392620.509943188,22.693968632134006
C05595,May,2710464.853017675,22.37010886873789
C05595,October,3407353.8204777734,22.700220334353077
C05595,September,4903685.569122628,23.225435043782984
C05855,August,7310126.980253564,23.80146503599314
C05855,July_1,12377311.326318327,24.561194621941464
C05855,July_2,10352194.203678537,24.303433251381794
C05855,July_3,12328689.443382781,24.555516111639015
C05855,June,16970800.832071908,25.016551309775576
C05855,May,17221526.66880085,25.03770970589402
C05855,October,14146541.065249542,24.753946010694094
C05855,September,19193396.796193916,25.194106722662806
C06034,August,10903539.647743927,24.37829322153177
C06034,July_1,12908527.593218194,24.62182111372514
C06034,July_2,13340400.75484604,24.66929867093978
